date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:56:42	697775/697775	---MCZ	200	added ('OK')	text/html	etag:W/%229d907bd61231792087b5940c88be3cec%22	https://www.psuigsa.com/events	/home/nishant/websites/accomodation/www.psuigsa.com/events.html	(from https://www.psuigsa.com/accommodation)
16:56:43	2211/2211	---MCZ	404	error ('Not%20Found')	text/html	date:Sun,%2023%20Nov%202025%2021:56:43%20GMT	https://www.psuigsa.com/api/	/home/nishant/websites/accomodation/www.psuigsa.com/api/index.html	(from https://www.psuigsa.com/accommodation)
16:56:43	2210/2210	---MCZ	404	error ('Not%20Found')	text/html	date:Sun,%2023%20Nov%202025%2021:56:43%20GMT	https://www.psuigsa.com/envelope/	/home/nishant/websites/accomodation/www.psuigsa.com/envelope/index.html	(from https://www.psuigsa.com/accommodation)
16:56:43	585588/585588	---MCZ	200	added ('OK')	text/html	etag:W/%226dcbbd0d46c82cde81dddd40a67e273d%22	https://www.psuigsa.com/temporary-accommodation-request	/home/nishant/websites/accomodation/www.psuigsa.com/temporary-accommodation-request.html	(from https://www.psuigsa.com/accommodation)
16:56:44	486/486	---MCZ	200	added ('OK')	text/xml	etag:W/%221e6-emnibKIRKUbBf8YQcsyg9AtQFPA%22	https://www.psuigsa.com/sitemap.xml	/home/nishant/websites/accomodation/www.psuigsa.com/sitemap.xml	(from https://www.psuigsa.com/accommodation)
16:56:44	2211/2211	---MCZ	404	error ('Not%20Found')	text/html	date:Sun,%2023%20Nov%202025%2021:56:44%20GMT	https://www.psuigsa.com/feed.xml	/home/nishant/websites/accomodation/www.psuigsa.com/feed.b.delayed	(from https://www.psuigsa.com/accommodation)
16:56:45	2208/2208	---MCZ	400	error ('Bad%20Request')	text/html	date:Sun,%2023%20Nov%202025%2021:56:45%20GMT	https://www.psuigsa.com/decodeURIComponent(e	/home/nishant/websites/accomodation/www.psuigsa.com/decodeURIComponent(e.c.delayed	(from https://www.psuigsa.com/accommodation)
16:56:47	2209/2209	---MCZ	400	error ('Bad%20Request')	text/html	date:Sun,%2023%20Nov%202025%2021:56:47%20GMT	https://www.psuigsa.com/%22https://i.ytimg.com/vi/bLxp_jhpXNQ/mqdefault.jpg%22	/home/nishant/websites/accomodation/www.psuigsa.com/_https_/i.ytimg.com/vi/bLxp_jhpXNQ/mqdefault.e.delayed	(from https://www.psuigsa.com/about)
16:56:48	650556/650556	---MCZ	200	added ('OK')	text/html	etag:W/%22d5e9a821a33c181cb3dd17541dc28254%22	https://www.psuigsa.com/about-us	/home/nishant/websites/accomodation/www.psuigsa.com/about-us.html	(from https://www.psuigsa.com/about)
16:56:48	2208/2208	---MCZ	400	error ('Bad%20Request')	text/html	date:Sun,%2023%20Nov%202025%2021:56:48%20GMT	https://www.psuigsa.com/%22https://i.ytimg.com/vi/kJ5tUydGvKo/mqdefault.jpg%22	/home/nishant/websites/accomodation/www.psuigsa.com/_https_/i.ytimg.com/vi/kJ5tUydGvKo/mqdefault.f.delayed	(from https://www.psuigsa.com/about)
16:56:49	2208/2208	---MCZ	400	error ('Bad%20Request')	text/html	date:Sun,%2023%20Nov%202025%2021:56:49%20GMT	https://www.psuigsa.com/%22https://i.ytimg.com/vi/60PG4ri7hc8/mqdefault.jpg%22	/home/nishant/websites/accomodation/www.psuigsa.com/_https_/i.ytimg.com/vi/60PG4ri7hc8/mqdefault.10.delayed	(from https://www.psuigsa.com/about)
16:56:50	2209/2209	---MCZ	400	error ('Bad%20Request')	text/html	date:Sun,%2023%20Nov%202025%2021:56:50%20GMT	https://www.psuigsa.com/%22https://i.ytimg.com/vi/f8uqRxdNnA0/mqdefault.jpg%22	/home/nishant/websites/accomodation/www.psuigsa.com/_https_/i.ytimg.com/vi/f8uqRxdNnA0/mqdefault.11.delayed	(from https://www.psuigsa.com/about)
16:56:51	2209/2209	---MCZ	400	error ('Bad%20Request')	text/html	date:Sun,%2023%20Nov%202025%2021:56:51%20GMT	https://www.psuigsa.com/%22https://i.ytimg.com/vi/g2w2FIg-ZkI/mqdefault.jpg%22	/home/nishant/websites/accomodation/www.psuigsa.com/_https_/i.ytimg.com/vi/g2w2FIg-ZkI/mqdefault.12.delayed	(from https://www.psuigsa.com/about)
16:56:53	580843/580843	---MCZ	200	added ('OK')	text/html	etag:W/%22053469ff62e6849a9b22786bceba43b4%22	https://www.psuigsa.com/essentials	/home/nishant/websites/accomodation/www.psuigsa.com/essentials.html	(from https://www.psuigsa.com/services-4-1)
16:56:54	577123/577123	---MCZ	200	added ('OK')	text/html	etag:W/%22951a8f8f302498c92a4eb975ecb94e38%22	https://www.psuigsa.com/departure-checklist	/home/nishant/websites/accomodation/www.psuigsa.com/departure-checklist.html	(from https://www.psuigsa.com/services-4-1)
16:56:55	573351/573351	---MCZ	200	added ('OK')	text/html	etag:W/%22226ba21b430bff7b8fedde11a0696e0d%22	https://www.psuigsa.com/useful-cell-phone-apps	/home/nishant/websites/accomodation/www.psuigsa.com/useful-cell-phone-apps.html	(from https://www.psuigsa.com/services-4-2)
